Sample Number,Label D,Sample Date,Received Date,District,School,Sample Point,Result,MCL,Consumption Point,Additional Sampling Completed
1527914,M1004565,07/26/2021 07:02:00 AM,07/30/2021 03:36:58 PM,Brandywine,BRANDYWINE HIGH SCHOOL,STAFF BATH GYM LOBBY,0.00052,0.015,false,false
1527904,M1004561,07/26/2021 07:00:00 AM,07/30/2021 03:33:20 PM,Brandywine,BRANDYWINE HIGH SCHOOL,TRAINERS RM GYM SINK,0.0337,0.015,true,false
1527907,M1004562,07/26/2021 06:52:00 AM,07/30/2021 03:34:46 PM,Brandywine,BRANDYWINE HIGH SCHOOL,BOYS BR BY RM 213 SK,0.0203,0.015,false,false
1527921,M1004569,07/26/2021 06:50:00 AM,07/30/2021 03:39:20 PM,Brandywine,BRANDYWINE HIGH SCHOOL,GIRLS BR BY RM 213,0.00155,0.015,false,false
1527917,M1004567,07/26/2021 06:40:00 AM,07/30/2021 03:38:11 PM,Brandywine,BRANDYWINE HIGH SCHOOL,RM 124 FOODS LAB SNK,0.00294,0.015,true,false
1527910,M1004563,07/26/2021 06:35:00 AM,07/30/2021 03:35:35 PM,Brandywine,BRANDYWINE HIGH SCHOOL,RM 113 STOR. RM SINK,0.00073,0.015,true,false
1527919,M1004568,07/26/2021 06:25:00 AM,07/30/2021 03:38:48 PM,Brandywine,BRANDYWINE HIGH SCHOOL,GIRLS BR BY RM 104,0.0021,0.015,false,false
1527912,M1004564,07/26/2021 06:15:00 AM,07/30/2021 03:36:19 PM,Brandywine,BRANDYWINE HIGH SCHOOL,BOYS BR BY RM 102 SK,0.00236,0.015,false,false
1527915,M1004566,07/26/2021 06:10:00 AM,07/30/2021 03:37:30 PM,Brandywine,BRANDYWINE HIGH SCHOOL,NURSE SINK,0.0005,0.015,true,false
1527902,M1004570,07/26/2021 06:00:00 AM,07/30/2021 03:31:40 PM,Brandywine,BRANDYWINE HIGH SCHOOL,KITCHEN 3 BAY SINK,0.00275,0.015,true,false
1541240,M1004699,08/26/2021 09:56:00 AM,08/26/2021 03:04:10 PM,Brandywine,BRANDYWINE HIGH SCHOOL,SINK,0.0171,0.015,true,false
1541241,M1004700,08/26/2021 09:35:00 AM,08/26/2021 03:06:24 PM,Brandywine,BRANDYWINE HIGH SCHOOL,GYM SINK,0.00105,0.015,true,false
1678023,M1200925,05/11/2022 10:39:00 AM,05/16/2022 11:02:00 AM,Brandywine,BRANDYWINE HIGH SCHOOL,WATER FOUNTAIN ART HALL,0.0005,0.015,true,true
1678038,M1200932,05/11/2022 11:43:00 AM,05/16/2022 11:07:00 AM,Brandywine,BRANDYWINE HIGH SCHOOL,WATER FOUNTAIN GYM RIGHT,0.0005,0.015,true,true
1678014,M1200919,05/11/2022 09:47:00 AM,05/16/2022 10:59:00 AM,Brandywine,BRANDYWINE HIGH SCHOOL,FOOD PREP 2,0.0005,0.015,true,true
1678016,M1200920,05/11/2022 09:46:00 AM,05/16/2022 10:59:00 AM,Brandywine,BRANDYWINE HIGH SCHOOL,FOOD PREP 1,0.0005,0.015,true,true
1678017,M1200921,05/11/2022 10:03:00 AM,05/16/2022 11:00:00 AM,Brandywine,BRANDYWINE HIGH SCHOOL,LOBBY,0.0005,0.015,true,true
1678018,M1200922,05/11/2022 10:17:00 AM,05/16/2022 11:00:00 AM,Brandywine,BRANDYWINE HIGH SCHOOL,MUSIC HALL,0.0005,0.015,true,true
1678020,M1200923,05/11/2022 10:11:00 AM,05/16/2022 11:01:00 AM,Brandywine,BRANDYWINE HIGH SCHOOL,CAFETERIA,0.0005,0.015,true,true
